"id","filename","format","mode","filesize","width","height","info","exif","md5hash","photohash","cons_folder"
58,"Cons 1647 Item 6409.jpg","JPEG","RGB",3190356,4943,3823,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","dc71426f2870473ac017ac51134ec6bc","a5e1a3030383c1fd","Cons 1647"
59,"Cons 1647 Item 6613.jpg","JPEG","RGB",3213218,4911,3839,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","46732cd50093cb0a73da5701404a1bbe","f9f9f9f181c100fd","Cons 1647"
60,"Cons 1647 Item 6766.jpg","JPEG","RGB",3055581,4799,3791,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","a4d87b04c3ff03cd2336d2990b3b4c07","1dbdb1a3818100fc","Cons 1647"
61,"Cons 1647 Item 7521.jpg","JPEG","RGB",3054485,4783,3807,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","c3f8d698184cfda251ec7968e5a42591","ffbbb1e38180c0fc","Cons 1647"
62,"Cons 1647 Item 8458.jpg","JPEG","RGB",3085187,4895,3791,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","40a113d61630851c1082e4e11a03a686","bfbbb1f380e0e8f8","Cons 1647"
63,"Cons 1647 Item 9203.jpg","JPEG","RGB",2909030,4895,3791,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","dc71a1d356223c82992b0cba2f673e51","93bfb9fbf1e06878","Cons 1647"
90,"3423-023.jpg","JPEG","RGB",3363991,5855,4303,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","02f64d9326c05885911455904857e4bf","00fcfefeee5e00fc","Cons 3423"
91,"3423-023A.jpg","JPEG","RGB",2589355,4239,3791,"{""jfif_version"": [1, 1], ""jfif"": 257, ""jfif_unit"": 1, ""jfif_density"": [150, 150], ""dpi"": [150, 150]}","{}","b6bd763e1a0615a6bf0b471b08710483","f790800e081901fe","Cons 3423"
64,"Cons 1781 Item A25491_Copy of EEL PLan No 15013A .jpg","JPEG","RGB",3259745,1656,2126,"{""adobe"": 100, ""adobe_transform"": 100}","{""YResolution"": [1500000, 10000], ""ResolutionUnit"": 2, ""Compression"": 1, ""Make"": ""Hasselblad"", ""Flash"": 0, ""DateTime"": ""2011:12:07 14:53:50"", ""PhotometricInterpretation"": 2, ""MeteringMode"": 2, ""ExifVersion"": ""0210"", ""BitsPerSample"": [16, 16, 16], ""ExposureProgram"": 1, ""FocalLengthIn35mmFilm"": 84, ""ShutterSpeedValue"": [-260611543, 536870912], ""ColorSpace"": 65535, ""ExifImageWidth"": 1656, ""DateTimeDigitized"": ""2011:12:07 14:39:36"", ""DateTimeOriginal"": ""2011:12:07 14:39:36"", ""ImageWidth"": 7216, ""FocalPlaneYResolution"": [147059, 100], ""SamplesPerPixel"": 3, ""FNumber"": [13, 1], ""ApertureValue"": [993329223, 134217728], ""Artist"": ""Digital"", ""FocalLength"": [120, 1], ""FocalPlaneXResolution"": [147059, 100], ""ExifOffset"": 340, ""Software"": ""Adobe Photoshop CS5.1 Macintosh"", ""ExifImageHeight"": 2126, ""SubjectDistance"": [1049, 1000], ""ISOSpeedRatings"": 50, ""Model"": ""Hasselblad H3DII-39MS - Hasselblad H3D"", ""Orientation"": 1, ""ExposureTime"": [14, 10], ""FocalPlaneResolutionUnit"": 3, ""ImageLength"": 5412, ""MaxApertureValue"": [4, 1], ""XResolution"": [1500000, 10000]}","ecce1492b53a899dfe085dddf9b1140b","3f3f3fffffdfdf3f","Cons 1781"
65,"Cons 1781 Item A25491_Plan No 28287.jpg","JPEG","RGB",8714406,4665,3735,"{""adobe"": 100, ""adobe_transform"": 100}","{""YResolution"": [1500000, 10000], ""ResolutionUnit"": 2, ""Compression"": 1, ""Make"": ""Hasselblad"", ""Flash"": 0, ""DateTime"": ""2011:12:07 14:32:55"", ""PhotometricInterpretation"": 2, ""MeteringMode"": 2, ""ExifVersion"": ""0210"", ""BitsPerSample"": [16, 16, 16], ""ExposureProgram"": 1, ""FocalLengthIn35mmFilm"": 35, ""ShutterSpeedValue"": [-900907994, 536870912], ""ColorSpace"": 65535, ""ExifImageWidth"": 4665, ""DateTimeDigitized"": ""2011:12:07 14:10:15"", ""DateTimeOriginal"": ""2011:12:07 14:10:15"", ""ImageWidth"": 7216, ""FocalPlaneYResolution"": [147059, 100], ""SamplesPerPixel"": 3, ""FNumber"": [13, 1], ""ApertureValue"": [993329223, 134217728], ""Artist"": ""Digital"", ""FocalLength"": [50, 1], ""FocalPlaneXResolution"": [147059, 100], ""ExifOffset"": 340, ""Software"": ""Adobe Photoshop CS5.1 Macintosh"", ""ExifImageHeight"": 3735, ""SubjectDistance"": [1054, 1000], ""ISOSpeedRatings"": 50, ""Model"": ""Hasselblad H3DII-39MS - Hasselblad H3D"", ""Orientation"": 1, ""ExposureTime"": [32, 10], ""FocalPlaneResolutionUnit"": 3, ""ImageLength"": 5412, ""MaxApertureValue"": [3, 1], ""XResolution"": [1500000, 10000]}","f943ad2c61230a95c3f65490140992aa","fefefefefeffff00","Cons 1781"
